artist,album,track_name,track_id,popularity,speechiness,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Grant Macdonald,12 Inch Cock,Ram Ranch,2w09i8WQjzVIIPEcU3TJM4,35,0.134,0.461,0.621,2,-5.988,1,0.134,0.00394,0.0,0.0879,0.479,81.888,audio_features,2w09i8WQjzVIIPEcU3TJM4,spotify:track:2w09i8WQjzVIIPEcU3TJM4,https://api.spotify.com/v1/tracks/2w09i8WQjzVIIPEcU3TJM4,https://api.spotify.com/v1/audio-analysis/2w09i8WQjzVIIPEcU3TJM4,409413,4
Grant Macdonald,Ram Ranch 2,Ram Ranch 2,08iqsx5sRyySe5bOAm7XOV,13,0.0876,0.332,0.905,1,-2.956,1,0.0876,0.545,0.0,0.577,0.586,109.712,audio_features,08iqsx5sRyySe5bOAm7XOV,spotify:track:08iqsx5sRyySe5bOAm7XOV,https://api.spotify.com/v1/tracks/08iqsx5sRyySe5bOAm7XOV,https://api.spotify.com/v1/audio-analysis/08iqsx5sRyySe5bOAm7XOV,439870,4
Grant Macdonald,Ram Ranch 3,Ram Ranch 3,0PtIxTsvg7N78Db2P1mC0g,7,0.173,0.425,0.934,7,-3.782,1,0.173,0.444,0.0,0.819,0.651,118.043,audio_features,0PtIxTsvg7N78Db2P1mC0g,spotify:track:0PtIxTsvg7N78Db2P1mC0g,https://api.spotify.com/v1/tracks/0PtIxTsvg7N78Db2P1mC0g,https://api.spotify.com/v1/audio-analysis/0PtIxTsvg7N78Db2P1mC0g,363211,1
Grant Macdonald,Ram Ranch 4,Ram Ranch 4,2F5EDWuIHfRrGTsqVPAqJd,6,0.328,0.167,0.966,4,-3.097,0,0.328,0.168,0.0,0.269,0.386,64.782,audio_features,2F5EDWuIHfRrGTsqVPAqJd,spotify:track:2F5EDWuIHfRrGTsqVPAqJd,https://api.spotify.com/v1/tracks/2F5EDWuIHfRrGTsqVPAqJd,https://api.spotify.com/v1/audio-analysis/2F5EDWuIHfRrGTsqVPAqJd,619802,3
Grant Macdonald,Ram Ranch 5,Ram Ranch 5,3p6ywljBz1LkP9xTfrFK6i,4,0.217,0.216,0.965,9,-2.204,1,0.217,0.124,0.0,0.333,0.565,145.068,audio_features,3p6ywljBz1LkP9xTfrFK6i,spotify:track:3p6ywljBz1LkP9xTfrFK6i,https://api.spotify.com/v1/tracks/3p6ywljBz1LkP9xTfrFK6i,https://api.spotify.com/v1/audio-analysis/3p6ywljBz1LkP9xTfrFK6i,679945,4
Grant Macdonald,Ram Ranch 6,Ram Ranch 6,0dhOdbodLy7hKF29Dd7tmf,4,0.291,0.343,0.925,5,-2.741,1,0.291,0.442,1.05e-05,0.183,0.44,99.68,audio_features,0dhOdbodLy7hKF29Dd7tmf,spotify:track:0dhOdbodLy7hKF29Dd7tmf,https://api.spotify.com/v1/tracks/0dhOdbodLy7hKF29Dd7tmf,https://api.spotify.com/v1/audio-analysis/0dhOdbodLy7hKF29Dd7tmf,486548,5
Grant Macdonald,Ram Ranch 7,Ram Ranch 7,5lVeW919i4nCrfEEDnVsv5,14,0.286,0.297,0.938,7,-2.606,1,0.286,0.0534,0.0,0.934,0.554,136.726,audio_features,5lVeW919i4nCrfEEDnVsv5,spotify:track:5lVeW919i4nCrfEEDnVsv5,https://api.spotify.com/v1/tracks/5lVeW919i4nCrfEEDnVsv5,https://api.spotify.com/v1/audio-analysis/5lVeW919i4nCrfEEDnVsv5,686111,3
Grant Macdonald,Ram Ranch 8,Ram Ranch 8,1W3siD7YknIT4HTJdz8IMz,3,0.191,0.28,0.957,2,-2.662,0,0.191,0.529,0.0,0.628,0.52,124.559,audio_features,1W3siD7YknIT4HTJdz8IMz,spotify:track:1W3siD7YknIT4HTJdz8IMz,https://api.spotify.com/v1/tracks/1W3siD7YknIT4HTJdz8IMz,https://api.spotify.com/v1/audio-analysis/1W3siD7YknIT4HTJdz8IMz,517528,3
Grant Macdonald,Ram Ranch 9,Ram Ranch 9,6WTb2dIkhV9AjhR4GNITiU,3,0.188,0.144,0.977,11,-1.949,1,0.188,0.0697,0.0,0.808,0.421,81.248,audio_features,6WTb2dIkhV9AjhR4GNITiU,spotify:track:6WTb2dIkhV9AjhR4GNITiU,https://api.spotify.com/v1/tracks/6WTb2dIkhV9AjhR4GNITiU,https://api.spotify.com/v1/audio-analysis/6WTb2dIkhV9AjhR4GNITiU,340858,4
Grant Macdonald,Ram Ranch 10,Ram Ranch 10,3cLXBtOLyb2AEClpk6xeVy,3,0.349,0.174,0.944,4,-2.239,1,0.349,0.0257,0.0,0.689,0.535,67.39,audio_features,3cLXBtOLyb2AEClpk6xeVy,spotify:track:3cLXBtOLyb2AEClpk6xeVy,https://api.spotify.com/v1/tracks/3cLXBtOLyb2AEClpk6xeVy,https://api.spotify.com/v1/audio-analysis/3cLXBtOLyb2AEClpk6xeVy,349190,4
Grant Macdonald,Ram Ranch 11,Ram Ranch 11,23OASosRCAv0aEFYCAE05A,2,0.241,0.339,0.954,9,-2.157,0,0.241,0.345,0.0,0.0921,0.571,80.685,audio_features,23OASosRCAv0aEFYCAE05A,spotify:track:23OASosRCAv0aEFYCAE05A,https://api.spotify.com/v1/tracks/23OASosRCAv0aEFYCAE05A,https://api.spotify.com/v1/audio-analysis/23OASosRCAv0aEFYCAE05A,422645,4
Grant Macdonald,Ram Ranch 12,Ram Ranch 12,0WpT8S2uzMwyjxbSyVNbrt,2,0.255,0.221,0.938,9,-3.321,0,0.255,0.427,0.000388,0.34,0.5,78.679,audio_features,0WpT8S2uzMwyjxbSyVNbrt,spotify:track:0WpT8S2uzMwyjxbSyVNbrt,https://api.spotify.com/v1/tracks/0WpT8S2uzMwyjxbSyVNbrt,https://api.spotify.com/v1/audio-analysis/0WpT8S2uzMwyjxbSyVNbrt,422357,3
Grant Macdonald,Ram Ranch 13,Ram Ranch 13,0XgZ5fFm9XX7A6kr2Gx26k,3,0.367,0.234,0.934,7,-3.334,1,0.367,0.142,2.56e-06,0.653,0.652,68.377,audio_features,0XgZ5fFm9XX7A6kr2Gx26k,spotify:track:0XgZ5fFm9XX7A6kr2Gx26k,https://api.spotify.com/v1/tracks/0XgZ5fFm9XX7A6kr2Gx26k,https://api.spotify.com/v1/audio-analysis/0XgZ5fFm9XX7A6kr2Gx26k,407727,3
Grant Macdonald,Ram Ranch 14,Ram Ranch 14,5zLNAx1P9yse7RdolsxRFX,1,0.27,0.247,0.941,9,-2.813,1,0.27,0.00491,4.22e-05,0.376,0.436,131.776,audio_features,5zLNAx1P9yse7RdolsxRFX,spotify:track:5zLNAx1P9yse7RdolsxRFX,https://api.spotify.com/v1/tracks/5zLNAx1P9yse7RdolsxRFX,https://api.spotify.com/v1/audio-analysis/5zLNAx1P9yse7RdolsxRFX,350605,3
Grant Macdonald,Ram Ranch 15,Ram Ranch 15,57hh1udziT0mBqOvxJM7AG,2,0.237,0.298,0.944,9,-2.409,0,0.237,0.421,0.0,0.875,0.455,90.437,audio_features,57hh1udziT0mBqOvxJM7AG,spotify:track:57hh1udziT0mBqOvxJM7AG,https://api.spotify.com/v1/tracks/57hh1udziT0mBqOvxJM7AG,https://api.spotify.com/v1/audio-analysis/57hh1udziT0mBqOvxJM7AG,548423,4
Grant Macdonald,Ram Ranch 16,Ram Ranch 16,0O1bfUSBiQifnQ99f7WyX7,1,0.237,0.291,0.949,2,-2.975,1,0.237,0.00718,0.000166,0.48,0.512,79.77,audio_features,0O1bfUSBiQifnQ99f7WyX7,spotify:track:0O1bfUSBiQifnQ99f7WyX7,https://api.spotify.com/v1/tracks/0O1bfUSBiQifnQ99f7WyX7,https://api.spotify.com/v1/audio-analysis/0O1bfUSBiQifnQ99f7WyX7,605414,4
Grant Macdonald,Ram Ranch 17,Ram Ranch 17,2GNwm9lttHDrXHjL2dQyN1,1,0.243,0.238,0.935,0,-3.449,1,0.243,0.0316,0.0,0.24,0.539,81.715,audio_features,2GNwm9lttHDrXHjL2dQyN1,spotify:track:2GNwm9lttHDrXHjL2dQyN1,https://api.spotify.com/v1/tracks/2GNwm9lttHDrXHjL2dQyN1,https://api.spotify.com/v1/audio-analysis/2GNwm9lttHDrXHjL2dQyN1,422974,4
Grant Macdonald,Ram Ranch 18,Ram Ranch 18,7N3rkqwrpOJCQLjKaEPD03,1,0.14,0.186,0.919,7,-3.899,1,0.14,0.016,7.15e-06,0.686,0.657,88.919,audio_features,7N3rkqwrpOJCQLjKaEPD03,spotify:track:7N3rkqwrpOJCQLjKaEPD03,https://api.spotify.com/v1/tracks/7N3rkqwrpOJCQLjKaEPD03,https://api.spotify.com/v1/audio-analysis/7N3rkqwrpOJCQLjKaEPD03,451021,4
Grant Macdonald,Ram Ranch 19,Ram Ranch 19,09cerF3zw6yGgTZnlvVpjn,2,0.313,0.272,0.934,9,-3.171,0,0.313,0.627,0.0,0.379,0.543,94.828,audio_features,09cerF3zw6yGgTZnlvVpjn,spotify:track:09cerF3zw6yGgTZnlvVpjn,https://api.spotify.com/v1/tracks/09cerF3zw6yGgTZnlvVpjn,https://api.spotify.com/v1/audio-analysis/09cerF3zw6yGgTZnlvVpjn,752907,4
Grant Macdonald,Ram Ranch 20,Ram Ranch 20,5zlrnIQQH6WR7PQWXCjtVH,0,0.0677,0.329,0.853,2,-2.699,0,0.0677,0.463,0.000447,0.281,0.639,126.824,audio_features,5zlrnIQQH6WR7PQWXCjtVH,spotify:track:5zlrnIQQH6WR7PQWXCjtVH,https://api.spotify.com/v1/tracks/5zlrnIQQH6WR7PQWXCjtVH,https://api.spotify.com/v1/audio-analysis/5zlrnIQQH6WR7PQWXCjtVH,607709,3
Grant Macdonald,Ram Ranch 21,Ram Ranch 21,3eOwluV91YWKDnwOoEG7df,1,0.467,0.335,0.973,9,-3.208,1,0.467,0.393,0.0,0.459,0.508,98.308,audio_features,3eOwluV91YWKDnwOoEG7df,spotify:track:3eOwluV91YWKDnwOoEG7df,https://api.spotify.com/v1/tracks/3eOwluV91YWKDnwOoEG7df,https://api.spotify.com/v1/audio-analysis/3eOwluV91YWKDnwOoEG7df,763000,3
Grant Macdonald,Ram Ranch 22,Ram Ranch 22,1h6ePIDZgMehGWcJ0h11hq,1,0.333,0.392,0.963,1,-3.66,0,0.333,0.121,0.0,0.267,0.526,128.443,audio_features,1h6ePIDZgMehGWcJ0h11hq,spotify:track:1h6ePIDZgMehGWcJ0h11hq,https://api.spotify.com/v1/tracks/1h6ePIDZgMehGWcJ0h11hq,https://api.spotify.com/v1/audio-analysis/1h6ePIDZgMehGWcJ0h11hq,572114,5
Grant Macdonald,Ram Ranch 23,Ram Ranch 23,1RV7CpJN4VTgCYQk0tCjFJ,0,0.356,0.312,0.885,0,-3.567,1,0.356,0.153,0.0,0.498,0.468,84.049,audio_features,1RV7CpJN4VTgCYQk0tCjFJ,spotify:track:1RV7CpJN4VTgCYQk0tCjFJ,https://api.spotify.com/v1/tracks/1RV7CpJN4VTgCYQk0tCjFJ,https://api.spotify.com/v1/audio-analysis/1RV7CpJN4VTgCYQk0tCjFJ,478535,4
Grant Macdonald,Ram Ranch 24,Ram Ranch 24,4JLgXNHRgY8nIJuuuaobLs,1,0.241,0.237,0.952,6,-1.786,0,0.241,0.253,0.0,0.791,0.462,93.777,audio_features,4JLgXNHRgY8nIJuuuaobLs,spotify:track:4JLgXNHRgY8nIJuuuaobLs,https://api.spotify.com/v1/tracks/4JLgXNHRgY8nIJuuuaobLs,https://api.spotify.com/v1/audio-analysis/4JLgXNHRgY8nIJuuuaobLs,592741,4
Grant Macdonald,Ram Ranch 25,Ram Ranch 25,2sj9ttZtmuSBT8oINQ8cMM,0,0.348,0.292,0.974,11,-3.006,0,0.348,0.042,0.0,0.306,0.558,97.061,audio_features,2sj9ttZtmuSBT8oINQ8cMM,spotify:track:2sj9ttZtmuSBT8oINQ8cMM,https://api.spotify.com/v1/tracks/2sj9ttZtmuSBT8oINQ8cMM,https://api.spotify.com/v1/audio-analysis/2sj9ttZtmuSBT8oINQ8cMM,482462,4
Grant Macdonald,Ram Ranch 26,Ram Ranch 26,5v30utkY6wBKsyl7c7msUV,0,0.18,0.267,0.92,4,-3.64,0,0.18,0.147,0.0,0.765,0.54,100.484,audio_features,5v30utkY6wBKsyl7c7msUV,spotify:track:5v30utkY6wBKsyl7c7msUV,https://api.spotify.com/v1/tracks/5v30utkY6wBKsyl7c7msUV,https://api.spotify.com/v1/audio-analysis/5v30utkY6wBKsyl7c7msUV,587152,4
Grant Macdonald,Ram Ranch 27,Ram Ranch 27,77G9f5mMWmTSsMDA5tiNDU,1,0.255,0.548,0.969,11,-3.394,0,0.255,0.0124,0.0,0.494,0.649,95.031,audio_features,77G9f5mMWmTSsMDA5tiNDU,spotify:track:77G9f5mMWmTSsMDA5tiNDU,https://api.spotify.com/v1/tracks/77G9f5mMWmTSsMDA5tiNDU,https://api.spotify.com/v1/audio-analysis/77G9f5mMWmTSsMDA5tiNDU,532956,4
Grant Macdonald,Ram Ranch 28,Ram Ranch 28,3qt0KoCM7cCYtOxa4LLSqK,0,0.341,0.357,0.956,11,-2.584,1,0.341,0.105,0.0,0.32,0.576,115.347,audio_features,3qt0KoCM7cCYtOxa4LLSqK,spotify:track:3qt0KoCM7cCYtOxa4LLSqK,https://api.spotify.com/v1/tracks/3qt0KoCM7cCYtOxa4LLSqK,https://api.spotify.com/v1/audio-analysis/3qt0KoCM7cCYtOxa4LLSqK,657176,3
Grant Macdonald,Ram Ranch 29,Ram Ranch 29,09LrkIxZNZ7xsVZ9HluIZH,1,0.224,0.443,0.981,1,-2.469,1,0.224,0.0804,0.0,0.353,0.516,121.163,audio_features,09LrkIxZNZ7xsVZ9HluIZH,spotify:track:09LrkIxZNZ7xsVZ9HluIZH,https://api.spotify.com/v1/tracks/09LrkIxZNZ7xsVZ9HluIZH,https://api.spotify.com/v1/audio-analysis/09LrkIxZNZ7xsVZ9HluIZH,815630,4
Grant Macdonald,Ram Ranch 30,Ram Ranch 30,11wNc3mnBfmolSBfgFigHO,1,0.368,0.556,0.961,7,-2.588,1,0.368,0.013,0.0,0.315,0.481,139.961,audio_features,11wNc3mnBfmolSBfgFigHO,spotify:track:11wNc3mnBfmolSBfgFigHO,https://api.spotify.com/v1/tracks/11wNc3mnBfmolSBfgFigHO,https://api.spotify.com/v1/audio-analysis/11wNc3mnBfmolSBfgFigHO,480758,4
